ID,Sex,Session,Fluid,Concentration,Material,Intake,Preference,Total Fluid,Location,TotalFluid
D3,Male,3,Alcohol,0.1,Metal,14.34545455,84.38818565,4.74,Pitt,4.74
D4,Male,3,Alcohol,0.1,Metal,10.00452,50.23771791,6.31,Pitt,6.31
D6,Male,3,Alcohol,0.1,Metal,10.257,88.41309824,3.97,Pitt,3.97
D7,Male,3,Alcohol,0.1,Metal,10.44636,81.72839506,4.05,Pitt,4.05
D8,Male,3,Alcohol,0.1,Metal,8.515758621,74.17061611,4.22,Pitt,4.22
E1,Female,4,Alcohol,0.2,Metal,17.12806725,63.3719279,3.416666667,Pitt,3.416666667
E2,Female,4,Alcohol,0.2,Metal,13.63154048,42.19395349,4.571666667,Pitt,4.571666667
E3,Female,4,Alcohol,0.2,Metal,16.94811988,62.60972149,3.355,Pitt,3.355
E4,Female,4,Alcohol,0.2,Metal,18.31550456,68.78691806,3.29,Pitt,3.29
E6,Female,4,Alcohol,0.2,Metal,16.2534,61.12759644,3.37,Pitt,3.37
E7,Female,4,Alcohol,0.2,Metal,24.87228571,90.93406593,3.64,Pitt,3.64
E8,Female,4,Alcohol,0.2,Metal,13.7286,54.20560748,3.21,Pitt,3.21
D1,Male,4,Alcohol,0.2,Metal,17.31969348,70.18374151,3.932,Pitt,3.932
D2,Male,4,Alcohol,0.2,Metal,18.96634615,82.22406891,3.785,Pitt,3.785
D3,Male,4,Alcohol,0.2,Metal,5.1285,14.05225146,5.3425,Pitt,5.3425
D4,Male,4,Alcohol,0.2,Metal,17.13683723,82.13240478,3.23,Pitt,3.23
D6,Male,4,Alcohol,0.2,Metal,11.92266667,69.3877551,2.94,Pitt,2.94
D7,Male,4,Alcohol,0.2,Metal,20.514,89.89361702,3.76,Pitt,3.76
D8,Male,4,Alcohol,0.2,Metal,13.92021429,66.75675676,3.7,Pitt,3.7
C1,Female,1,Alcohol,0.03,Plastic,2.8761554608340054,73.23955797772656,2.8026442888191267,NIH,2.8026442888191267
C2,Male,1,Alcohol,0.03,Plastic,0.34038534515472485,11.329531897730593,2.8419834178539802,NIH,2.8419834178539802
C3,Female,1,Alcohol,0.03,Plastic,3.471564514830712,76.66439823,3.5567970699508984,NIH,3.5567970699508984
C4,Male,1,Alcohol,0.03,Plastic,2.083614058415741,67.12368152,3.1329541978588096,NIH,3.1329541978588096
C5,Female,1,Alcohol,0.03,Plastic,2.5701005836401674,47.32845653029168,4.081900507123883,NIH,4.081900507123883
C6,Male,1,Alcohol,0.03,Plastic,2.3052113212511025,84.77742293162325,2.8247516702889808,NIH,2.8247516702889808
C7,Female,1,Alcohol,0.03,Plastic,0.8637278133301136,20.099048109081565,2.9035949448603384,NIH,2.9035949448603384
C8,Male,1,Alcohol,0.03,Plastic,0.092084924,44.59706551308935,0.18049585446349486,NIH,0.18049585446349486
H1,Female,1,Alcohol,0.03,Metal,1.6014851485148476,33.11258278,3.7376237623762343,NIH,3.7376237623762343
H2,Male,1,Alcohol,0.03,Metal,3.180383072771753,99.35671221583992,3.1090284150366223,NIH,3.1090284150366223
H3,Female,1,Alcohol,0.03,Metal,2.1240045537654746,40.987069525420125,3.8296691620381482,NIH,3.8296691620381482
H4,Male,1,Alcohol,0.03,Metal,1.8578741966815173,56.70128456279663,3.1409707800048325,NIH,3.1409707800048325
H5,Female,1,Alcohol,0.03,Metal,1.2755854853778088,40.91852673539328,2.606570071641319,NIH,2.606570071641319
H6,Male,1,Alcohol,0.03,Metal,1.171656993859029,41.18407467897873,2.9073758351444887,NIH,2.9073758351444887
H7,Female,1,Alcohol,0.03,Metal,3.0498526925863345,57.44012738579107,3.9238839249778676,NIH,3.9238839249778676
H8,Male,1,Alcohol,0.03,Metal,2.072753036755193,64.40604265919193,3.343264106898493,NIH,3.343264106898493
C1,Female,2,Alcohol,0.06,Plastic,5.011701416147389,46.47079515311183,3.8483665242035725,NIH,3.8483665242035725
C2,Male,2,Alcohol,0.06,Plastic,4.122948574719511,60.93782684027106,3.200026774979034,NIH,3.200026774979034
C3,Female,2,Alcohol,0.06,Plastic,8.335481524286681,89.35479139007018,3.663620078203145,NIH,3.663620078203145
C4,Male,2,Alcohol,0.06,Plastic,6.306832255126257,79.712906,3.992686187141947,NIH,3.992686187141947
C5,Female,2,Alcohol,0.06,Plastic,7.446606309722194,82.34641501760787,3.398743092,NIH,3.398743092
C6,Male,2,Alcohol,0.06,Plastic,5.271483008546552,77.82907093284088,3.518120498,NIH,3.518120498
C7,Female,2,Alcohol,0.06,Plastic,0.9869441665908887,10.778484889935996,3.0934242672243943,NIH,3.0934242672243943
C8,Male,2,Alcohol,0.06,Plastic,8.853745941837161,94.85261599923899,4.079742253,NIH,4.079742253
H1,Female,2,Alcohol,0.06,Metal,4.6805896557647015,43.700415439586266,4.138574055550501,NIH,4.138574055550501
H2,Male,2,Alcohol,0.06,Metal,3.744926481925895,54.31032539759917,3.348677821223961,NIH,3.348677821223961
H3,Female,2,Alcohol,0.06,Metal,6.918008634389468,66.11706227100933,3.866252715387021,NIH,3.866252715387021
H4,Male,2,Alcohol,0.06,Metal,5.691628353587829,78.88963366546739,3.4580167318359623,NIH,3.4580167318359623
H5,Female,2,Alcohol,0.06,Metal,6.090233975657279,65.51856304687522,3.8861489497135646,NIH,3.8861489497135646
