ID,Sex,Fluid,Concentration,Start,Stop,Percent,Intake,mls,mlskg,Total Fluid,Preference
7C,Male,Sucrose,0.003,51.23,49.16,0.3,0.39381698301698304,2.0679320679320683,82.71728271728273,3.8679320679320655,53.46350534635058
1D,Female,Sucrose,0.003,16.01,14.57,0.3,0.3261424289995722,1.438561439,68.50292564578285,4.508561438561438,31.907326941527643
2D,Female,Sucrose,0.003,16.59,14,0.3,0.5599396058486968,2.5874125874125875,117.60966306420853,4.117412587412589,62.84074118106624
3D,Female,Sucrose,0.003,16.77,14.3,0.3,0.69105424,2.467532467532467,145.14896867838038,3.957532467532469,62.35027729465424
4D,Female,Sucrose,0.003,17.13,15.87,0.3,0.2853746253746254,1.2587412587412588,59.94005994005994,4.0487412587412575,31.089693766516408
5D,Male,Sucrose,0.003,18.73,16.99,0.3,0.3448276723276727,1.7382617382617405,72.42757242757251,3.078261738,56.46893883829767
6D,Male,Sucrose,0.003,16.42,15,0.3,0.2701546453546457,1.4185814185814205,56.743256743256815,5.878581418581422,24.131356148227727
7D,Male,Sucrose,0.003,16.44,14.53,0.3,0.3785177322677327,1.9080919080919103,79.50382950382959,3.308091908091909,57.67953131605973
1C,Female,Water,,55.52,52.33,,151.90476190476213,3.190000000000005,,,
2C,Female,Water,,55.37,54.3,,48.636363636363654,1.0700000000000003,,,
3C,Female,Water,,54.63,51.06,,178.5,3.5700000000000003,,,
4C,Female,Water,,55.71,52.36,,167.50000000000006,3.3500000000000014,,,
5C,Male,Water,,55.74,51.85,,149.6153846153846,3.8900000000000006,,,
7C,Male,Water,,54.76,52.96,,71.99999999999989,1.7999999999999972,,,
1D,Female,Water,,18.38,15.31,,146.19047619047612,3.0699999999999985,,,
2D,Female,Water,,17.62,16.09,,69.54545455,1.5300000000000011,,,
3D,Female,Water,,18.14,16.65,,87.64705882352952,1.490000000000002,,,
4D,Female,Water,,18.61,15.82,,132.8571428571428,2.789999999999999,,,
5D,Male,Water,,17.09,15.75,,55.83333333333333,1.3399999999999999,,,
6D,Male,Water,,19.01,14.55,,178.40000000000003,4.460000000000001,,,
7D,Male,Water,,19.18,17.78,,58.33333333333327,1.3999999999999986,,,
1C,Female,Sucrose,0.01,54.71,53.97,1,0.5580622213858765,0.7384566256523886,35.16460122154231,4.248456625652387,17.381762148483563
3C,Female,Sucrose,0.01,55.14,53.28,1,1.4728317815765049,1.856120707720863,92.80603538604315,5.286120707720863,35.11309730422593
5C,Male,Sucrose,0.01,55.94,54.07,1,1.139038640011605,1.866099851310758,71.77307120425992,3.336099851310757,55.93657068080758
6C,Male,Sucrose,0.01,55.01,51.41,1,2.2805137263120088,3.5924916923629633,143.69966769451852,6.1424916923629675,58.48590234
1D,Female,Sucrose,0.01,15.87,14.86,1,0.7616795183780183,1.0078935025796085,47.99492869426707,3.4178935025796084,29.488733391456307
2D,Female,Sucrose,0.01,16,13.13,1,2.0659957053394766,2.8640142103004713,130.1824641045669,3.9040142103004705,73.36075270279419
3D,Female,Sucrose,0.01,16.5,16.24,1,0.24221142518019836,0.2594577333373266,15.262219608078032,1.1394577333373257,22.770281489723022
4D,Female,Sucrose,0.01,16.47,14.86,1,1.2141624005827818,1.6066421179734351,76.50676752254452,3.736642117973436,42.99694932638601
5D,Male,Sucrose,0.01,16.22,13.7,1,1.6628745921025054,2.514744184654073,104.78100769391969,3.6047441846540726,69.76207064456084
6D,Male,Sucrose,0.01,18.03,15.87,1,1.3683082357872058,2.1554950154177788,86.21980061671114,3.2454950154177786,66.41498462262501
7D,Male,Sucrose,0.01,17.9,16.11,1,1.181168857088684,1.7862667025915828,74.42777927464928,4.3662667025915844,40.910618252690554
1C,Female,Water,,52.33,48.82,,167.14285714285703,3.509999999999998,,,
2C,Female,Water,,54.3,51.19,,141.36363636363635,3.1099999999999994,,,
3C,Female,Water,,51.06,47.63,,171.49999999999997,3.4299999999999997,,,
5C,Male,Water,,51.85,50.38,,56.53846153846149,1.4699999999999989,,,
6C,Male,Water,,55.56,53.01,,102.00000000000017,2.5500000000000043,,,
7C,Male,Water,,52.96,50.58,,95.2,2.3800000000000026,,,
1D,Female,Water,,15.31,12.9,,114.76190476190476,2.41,,,
2D,Female,Water,,16.09,15.05,,47.27272727272724,1.0399999999999991,,,
3D,Female,Water,,16.65,15.77,,51.76470588235288,0.88,,,
4D,Female,Water,,15.82,13.69,,101.42857142857146,2.130000000000001,,,
5D,Male,Water,,15.75,14.66,,45.41666666666666,1.0899999999999999,,,
6D,Male,Water,,17.63,16.54,,43.599999999999994,1.0899999999999999,,,
7D,Male,Water,,17.78,15.2,,107.50000000000007,2.580000000000002,,,
1C,Female,Sucrose,0.03,54.6,51.98,3,5.881627358590662,2.594290580348748,123.53764668327372,5.314290580348747,48.81725116691869
2C,Female,Sucrose,0.03,54.28,51.31,3,6.364279985345226,2.940856115891514,133.67527799506883,,
3C,Female,Sucrose,0.03,55.77,53.14,3,6.199280134,2.6041924527928253,130.20962263964125,6.164192452792827,42.247098427514814
4C,Female,Sucrose,0.03,54.45,52.04,3,5.680709172104453,2.3863512590230846,119.31756295115423,6.066351259023085,39.33750548113461
5C,Male,Sucrose,0.03,55.48,53,3,4.496699248904884,2.455664366131632,94.44862946660123,,
6C,Male,Sucrose,0.03,54.6,51.46,3,5.921137527106375,3.1091879474408612,124.36751789763444,,
7C,Male,Sucrose,0.03,53.41,50.7,3,5.110281114158674,2.683407432,107.33629729381799,3.713407432345451,72.26267199
1D,Female,Sucrose,0.03,16.19,12.67,3,7.902033703144696,3.485459100315871,165.9742428721843,4.725459100315869,73.75916342356848
2D,Female,Sucrose,0.03,16.65,13.93,3,5.828566181864987,2.6933093047895342,122.42315021770611,3.743309304789535,71.94995351689121
4D,Female,Sucrose,0.03,16.15,14.86,3,2.895915760527456,1.2773415452862127,60.82578787077203,3.8473415452862127,33.20062776467609
5D,Male,Sucrose,0.03,17.35,15.53,3,3.5749967818914588,1.8021407848224118,75.08919936760049,2.3321407848224114,77.27409925467437
